date,year,month,day,market,category,price,price_filled,fill_method
2009-01-05,2009,1,5,Ludhiana,NECC,NA,168.0,next_price
2009-01-05,2009,1,5,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-05,2009,1,5,Mumbai (CC),NECC,214.0,214.0,observed
2009-01-05,2009,1,5,Mysuru,NECC,200.0,200.0,observed
2009-01-05,2009,1,5,Namakkal,NECC,200.0,200.0,observed
2009-01-05,2009,1,5,Pune,NECC,NA,168.0,next_price
2009-01-05,2009,1,5,Raipur,NECC,NA,180.0,next_price
2009-01-05,2009,1,5,Surat,NECC,NA,445.0,next_price
2009-01-05,2009,1,5,Vijayawada,NECC,190.0,190.0,observed
2009-01-05,2009,1,5,Vizag,NECC,202.0,202.0,observed
2009-01-05,2009,1,5,W.Godavari,NECC,190.0,190.0,observed
2009-01-05,2009,1,5,Warangal,NECC,193.0,193.0,observed
2009-01-05,2009,1,5,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-05,2009,1,5,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-05,2009,1,5,Indore (CC),PREVAILING,217.0,217.0,observed
2009-01-05,2009,1,5,Jabalpur,PREVAILING,215.0,215.0,observed
2009-01-05,2009,1,5,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-05,2009,1,5,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-05,2009,1,5,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-05,2009,1,5,Nagpur,PREVAILING,212.0,212.0,observed
2009-01-05,2009,1,5,Patna,PREVAILING,NA,486.0,next_price
2009-01-05,2009,1,5,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-05,2009,1,5,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-06,2009,1,6,Ahmedabad,NECC,214.0,214.0,observed
2009-01-06,2009,1,6,Ajmer,NECC,226.0,226.0,observed
2009-01-06,2009,1,6,Asansole,NECC,NA,500.0,next_price
2009-01-06,2009,1,6,Barwala,NECC,NA,168.0,next_price
2009-01-06,2009,1,6,Bengaluru (CC),NECC,200.0,200.0,observed
2009-01-06,2009,1,6,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-06,2009,1,6,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-06,2009,1,6,Chennai (CC),NECC,203.0,203.0,observed
2009-01-06,2009,1,6,Chittoor,NECC,196.0,196.0,observed
2009-01-06,2009,1,6,Delhi (CC),NECC,234.0,234.0,observed
2009-01-06,2009,1,6,E.Godavari,NECC,NA,211.0,next_price
2009-01-06,2009,1,6,Hospet,NECC,NA,165.0,next_price
2009-01-06,2009,1,6,Hyderabad,NECC,194.0,194.0,observed
2009-01-06,2009,1,6,Jabalpur,NECC,NA,550.0,next_price
2009-01-06,2009,1,6,Kolkata (WB),NECC,220.0,220.0,observed
2009-01-06,2009,1,6,Ludhiana,NECC,NA,168.0,next_price
2009-01-06,2009,1,6,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-06,2009,1,6,Mumbai (CC),NECC,216.0,216.0,observed
2009-01-06,2009,1,6,Mysuru,NECC,200.0,200.0,observed
2009-01-06,2009,1,6,Namakkal,NECC,200.0,200.0,observed
2009-01-06,2009,1,6,Pune,NECC,NA,168.0,next_price
2009-01-06,2009,1,6,Raipur,NECC,NA,180.0,next_price
2009-01-06,2009,1,6,Surat,NECC,NA,445.0,next_price
2009-01-06,2009,1,6,Vijayawada,NECC,192.0,192.0,observed
2009-01-06,2009,1,6,Vizag,NECC,204.0,204.0,observed
2009-01-06,2009,1,6,W.Godavari,NECC,192.0,192.0,observed
2009-01-06,2009,1,6,Warangal,NECC,195.0,195.0,observed
2009-01-06,2009,1,6,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-06,2009,1,6,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-06,2009,1,6,Indore (CC),PREVAILING,225.0,225.0,observed
2009-01-06,2009,1,6,Jabalpur,PREVAILING,220.0,220.0,observed
2009-01-06,2009,1,6,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-06,2009,1,6,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-06,2009,1,6,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-06,2009,1,6,Nagpur,PREVAILING,214.0,214.0,observed
2009-01-06,2009,1,6,Patna,PREVAILING,NA,486.0,next_price
2009-01-06,2009,1,6,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-06,2009,1,6,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-07,2009,1,7,Ahmedabad,NECC,217.0,217.0,observed
2009-01-07,2009,1,7,Ajmer,NECC,224.0,224.0,observed
2009-01-07,2009,1,7,Asansole,NECC,NA,500.0,next_price
2009-01-07,2009,1,7,Barwala,NECC,NA,168.0,next_price
2009-01-07,2009,1,7,Bengaluru (CC),NECC,202.0,202.0,observed
2009-01-07,2009,1,7,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-07,2009,1,7,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-07,2009,1,7,Chennai (CC),NECC,203.0,203.0,observed
2009-01-07,2009,1,7,Chittoor,NECC,196.0,196.0,observed
2009-01-07,2009,1,7,Delhi (CC),NECC,229.0,229.0,observed
2009-01-07,2009,1,7,E.Godavari,NECC,NA,211.0,next_price
2009-01-07,2009,1,7,Hospet,NECC,NA,165.0,next_price
2009-01-07,2009,1,7,Hyderabad,NECC,196.0,196.0,observed
2009-01-07,2009,1,7,Jabalpur,NECC,NA,550.0,next_price
2009-01-07,2009,1,7,Kolkata (WB),NECC,230.0,230.0,observed
2009-01-07,2009,1,7,Ludhiana,NECC,NA,168.0,next_price
2009-01-07,2009,1,7,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-07,2009,1,7,Mumbai (CC),NECC,218.0,218.0,observed
2009-01-07,2009,1,7,Mysuru,NECC,200.0,200.0,observed
2009-01-07,2009,1,7,Namakkal,NECC,200.0,200.0,observed
2009-01-07,2009,1,7,Pune,NECC,NA,168.0,next_price
2009-01-07,2009,1,7,Raipur,NECC,NA,180.0,next_price
2009-01-07,2009,1,7,Surat,NECC,NA,445.0,next_price
2009-01-07,2009,1,7,Vijayawada,NECC,194.0,194.0,observed
2009-01-07,2009,1,7,Vizag,NECC,206.0,206.0,observed
2009-01-07,2009,1,7,W.Godavari,NECC,194.0,194.0,observed
2009-01-07,2009,1,7,Warangal,NECC,197.0,197.0,observed
2009-01-07,2009,1,7,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-07,2009,1,7,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-07,2009,1,7,Indore (CC),PREVAILING,228.0,228.0,observed
2009-01-07,2009,1,7,Jabalpur,PREVAILING,220.0,220.0,observed
2009-01-07,2009,1,7,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-07,2009,1,7,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-07,2009,1,7,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-07,2009,1,7,Nagpur,PREVAILING,212.0,212.0,observed
2009-01-07,2009,1,7,Patna,PREVAILING,NA,486.0,next_price
2009-01-07,2009,1,7,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-07,2009,1,7,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-08,2009,1,8,Ahmedabad,NECC,217.0,217.0,observed
2009-01-08,2009,1,8,Ajmer,NECC,218.0,218.0,observed
2009-01-08,2009,1,8,Asansole,NECC,NA,500.0,next_price
2009-01-08,2009,1,8,Barwala,NECC,NA,168.0,next_price
2009-01-08,2009,1,8,Bengaluru (CC),NECC,202.0,202.0,observed
2009-01-08,2009,1,8,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-08,2009,1,8,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-08,2009,1,8,Chennai (CC),NECC,203.0,203.0,observed
